booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-035801,Resort Hotel,0,100,2025,April,18,29,2025-04-29,2,1,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,385.0,,0,Transient-Party,83.0,0,1
HB-082387,City Hotel,1,108,2024,March,12,18,2024-03-18,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,154.0,,0,Transient,80.0,0,0
HB-065516,City Hotel,1,27,2025,April,14,4,2025-04-04,0,5,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,175.0,0,1
HB-028717,Resort Hotel,0,8,2024,October,40,6,2024-10-06,1,3,3,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,C,1,No Deposit,,405.0,0,Transient-Party,70.0,0,0
HB-089100,City Hotel,0,0,2024,May,20,17,2024-05-17,0,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,0,0,A,A,0,No Deposit,6.0,,0,Transient,0.0,0,0
HB-065947,City Hotel,1,85,2025,April,15,10,2025-04-10,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.25,0,0
HB-049459,City Hotel,1,281,2024,April,15,14,2024-04-14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-084062,City Hotel,0,3,2024,February,7,18,2024-02-18,0,1,1,0.0,0,BB,JOR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Transient,66.57,0,1
HB-079082,City Hotel,0,0,2023,October,42,21,2023-10-21,0,1,1,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,87.0,,0,Transient-Party,145.0,0,1
HB-067814,City Hotel,1,17,2025,May,19,8,2025-05-08,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,95.0,0,0
HB-025161,Resort Hotel,0,177,2024,June,24,10,2024-06-10,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,140.0,0,2
HB-044282,City Hotel,0,198,2023,October,40,3,2023-10-03,1,1,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,1
HB-043297,City Hotel,0,24,2023,September,37,17,2023-09-17,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Contract,117.67,0,2
HB-085056,City Hotel,0,0,2024,March,10,8,2024-03-08,0,0,1,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0
HB-011300,Resort Hotel,1,73,2025,May,18,1,2025-05-01,3,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,115.0,0,1
HB-010738,Resort Hotel,1,47,2025,March,13,30,2025-03-30,2,5,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,1
HB-012315,Resort Hotel,1,80,2025,June,26,24,2025-06-24,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,68.4,0,0
HB-078197,City Hotel,0,12,2023,October,40,3,2023-10-03,2,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,139.33,0,0
HB-086126,City Hotel,0,33,2024,March,13,25,2024-03-25,1,2,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,199.5,1,0
HB-042432,City Hotel,1,61,2023,September,36,5,2023-09-05,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-029492,Resort Hotel,0,118,2024,October,43,23,2024-10-23,2,5,3,0.0,0,BB,NLD,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,111.2,0,1
HB-103744,City Hotel,0,119,2024,December,52,28,2024-12-28,0,3,2,1.0,0,HB,CHE,Direct,Direct,0,0,0,E,G,1,No Deposit,14.0,,0,Transient,202.33,0,1
HB-038159,Resort Hotel,0,204,2025,July,27,1,2025-07-01,4,6,2,1.0,0,HB,ROU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,185.5,0,2
HB-080594,City Hotel,0,1,2023,November,46,19,2023-11-19,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0
HB-085732,City Hotel,0,13,2024,March,12,20,2024-03-20,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient-Party,75.0,0,0
HB-113968,City Hotel,0,7,2025,June,24,9,2025-06-09,2,4,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,D,D,0,No Deposit,,153.0,0,Transient,110.0,0,0
HB-095696,City Hotel,0,120,2024,August,33,18,2024-08-18,2,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,92.87,0,2
HB-109362,City Hotel,0,8,2025,April,15,7,2025-04-07,1,2,2,3.0,0,HB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,,14.0,0,Transient,289.0,1,2
HB-054219,City Hotel,1,65,2024,July,28,9,2024-07-09,1,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.5,0,0
HB-052072,City Hotel,1,56,2024,May,22,30,2024-05-30,1,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,120.0,0,0
HB-019110,Resort Hotel,0,7,2023,December,49,7,2023-12-07,1,0,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,49.4,0,0
HB-114523,City Hotel,0,181,2025,June,25,20,2025-06-20,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,153.33,0,2
HB-063911,City Hotel,1,134,2025,February,9,25,2025-02-25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,75.0,0,0
HB-047463,City Hotel,1,50,2024,February,8,22,2024-02-22,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,86.0,,0,Transient,12.0,0,0
HB-111458,City Hotel,0,86,2025,May,19,8,2025-05-08,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0
HB-102747,City Hotel,0,18,2024,December,49,2,2024-12-02,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,83.04,0,1
HB-018349,Resort Hotel,1,82,2024,February,6,7,2024-02-07,2,0,2,0.0,0,Undefined,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,67.0,,0,Transient-Party,66.0,0,0
HB-049592,City Hotel,1,61,2024,April,16,15,2024-04-15,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.8,0,0
HB-093304,City Hotel,0,4,2024,July,29,18,2024-07-18,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,1
HB-089914,City Hotel,0,2,2024,May,21,26,2024-05-26,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,176.0,0,1
HB-038173,Resort Hotel,0,130,2025,July,28,9,2025-07-09,2,0,2,0.0,0,BB,TWN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient-Party,160.0,0,1
HB-059465,City Hotel,1,247,2024,October,44,28,2024-10-28,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,110.0,0,0
HB-022019,Resort Hotel,0,101,2024,March,11,14,2024-03-14,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,61.2,0,0
HB-048798,City Hotel,1,12,2024,March,13,30,2024-03-30,6,15,1,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,128.06,0,0
HB-118053,City Hotel,0,149,2025,August,32,7,2025-08-07,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,1
HB-021649,Resort Hotel,0,5,2024,March,9,1,2024-03-01,0,5,1,0.0,0,HB,PRT,Groups,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,66.0,0,0
HB-090644,City Hotel,0,18,2024,June,23,8,2024-06-08,0,1,2,0.0,0,BB,TUR,Groups,Direct,0,0,0,A,A,0,Non Refund,,,2,Transient-Party,92.65,0,0
HB-066581,City Hotel,1,194,2025,April,17,21,2025-04-21,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,2
HB-049488,City Hotel,1,101,2024,April,15,14,2024-04-14,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,130.0,0,0
HB-106524,City Hotel,0,13,2025,February,8,23,2025-02-23,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,122.4,0,2
HB-067469,City Hotel,1,143,2025,May,18,4,2025-05-04,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,120.0,0,0
HB-052993,City Hotel,1,239,2024,June,24,15,2024-06-15,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,80,Transient,90.6,0,0
HB-015436,Resort Hotel,0,139,2023,July,27,8,2023-07-08,2,6,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,,0,Transient,107.2,0,1
HB-086615,City Hotel,0,55,2024,April,14,6,2024-04-06,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,104.0,0,0
HB-004476,Resort Hotel,1,180,2024,March,12,19,2024-03-19,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,43.33,0,1
HB-063644,City Hotel,1,70,2025,February,7,16,2025-02-16,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,95.4,0,2
HB-028035,Resort Hotel,0,9,2024,September,38,18,2024-09-18,1,0,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,E,C,0,No Deposit,223.0,,0,Transient-Party,96.0,0,0
HB-055408,City Hotel,1,206,2024,August,33,12,2024-08-12,2,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.75,0,0
HB-034702,Resort Hotel,0,0,2025,March,14,31,2025-03-31,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,70.0,0,0
HB-030478,Resort Hotel,0,6,2024,November,46,13,2024-11-13,4,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,42.0,0,0
HB-041368,City Hotel,0,40,2023,August,33,15,2023-08-15,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-090319,City Hotel,0,49,2024,June,23,3,2024-06-03,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,2,No Deposit,85.0,,0,Transient,80.75,0,0
HB-109391,City Hotel,0,248,2025,April,15,9,2025-04-09,2,0,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,0,Transient-Party,80.0,0,1
HB-047995,City Hotel,1,40,2024,March,11,11,2024-03-11,2,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,71.1,0,0
HB-009819,Resort Hotel,1,2,2025,January,2,6,2025-01-06,2,3,1,0.0,0,BB,NGA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,43.0,0,1
HB-031895,Resort Hotel,0,60,2025,January,1,1,2025-01-01,4,5,2,0.0,0,HB,FRA,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,90.6,0,1
HB-069451,City Hotel,1,292,2025,May,22,31,2025-05-31,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,1,No Deposit,229.0,,0,Transient-Party,90.0,0,0
HB-045846,City Hotel,0,98,2023,November,47,23,2023-11-23,1,2,1,0.0,0,BB,HUN,Groups,TA/TO,0,0,0,A,D,0,No Deposit,37.0,,0,Transient-Party,70.0,0,0
HB-084034,City Hotel,0,21,2024,February,7,17,2024-02-17,0,1,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,1
HB-012653,Resort Hotel,1,156,2025,July,28,10,2025-07-10,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.0,0,1
HB-112418,City Hotel,0,18,2025,May,21,22,2025-05-22,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,120.0,0,1
HB-004107,Resort Hotel,0,230,2024,February,7,12,2024-02-12,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,31.88,0,3
HB-045757,City Hotel,0,98,2023,November,47,23,2023-11-23,1,2,1,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,70.0,0,0
HB-078018,City Hotel,0,1,2023,September,39,29,2023-09-29,0,2,1,0.0,0,BB,IRL,Corporate,Corporate,0,0,0,A,A,0,No Deposit,92.0,,0,Transient-Party,85.0,0,0
HB-109234,City Hotel,0,75,2025,April,14,5,2025-04-05,0,4,1,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,85.0,0,0
HB-068218,City Hotel,1,104,2025,May,20,15,2025-05-15,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0
HB-115593,City Hotel,0,97,2025,July,27,6,2025-07-06,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0,1
HB-018652,Resort Hotel,0,13,2023,November,47,22,2023-11-22,2,2,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Transient,22.5,0,0
HB-004940,Resort Hotel,1,121,2024,April,15,9,2024-04-09,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,Non Refund,273.0,,0,Transient,72.0,0,0
HB-074059,City Hotel,1,314,2023,August,34,27,2023-08-27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0
HB-050157,City Hotel,1,146,2024,April,17,24,2024-04-24,2,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,50,Transient,95.0,0,0
HB-019136,Resort Hotel,1,2,2023,December,49,8,2023-12-08,0,5,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient,38.0,0,0
HB-004116,Resort Hotel,1,161,2024,February,7,13,2024-02-13,6,15,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,77.4,0,1
HB-100996,City Hotel,0,15,2024,November,44,1,2024-11-01,0,4,2,0.0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,2
HB-115656,City Hotel,0,181,2025,July,27,3,2025-07-03,1,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.1,0,0
HB-087606,City Hotel,0,28,2024,April,16,21,2024-04-21,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,109.0,0,1
HB-027381,Resort Hotel,0,124,2024,August,33,16,2024-08-16,2,10,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,36.0,,0,Transient,145.11,0,0
HB-044470,City Hotel,1,97,2023,October,40,5,2023-10-05,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0
HB-117657,City Hotel,0,151,2025,August,32,4,2025-08-04,1,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,125.0,0,0
HB-079514,City Hotel,1,81,2023,December,52,30,2023-12-30,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Contract,111.0,0,1
HB-074752,City Hotel,1,185,2023,August,35,29,2023-08-29,1,1,2,1.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,6.0,,0,Transient,93.09,0,0
HB-095941,City Hotel,0,17,2024,August,34,22,2024-08-22,1,3,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,230.0,1,1
HB-036913,Resort Hotel,0,203,2025,May,21,25,2025-05-25,2,5,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,66.71,0,0
HB-109588,City Hotel,0,44,2025,April,15,10,2025-04-10,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.5,0,1
HB-002440,Resort Hotel,0,7,2023,October,41,15,2023-10-15,0,0,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,I,3,No Deposit,,223.0,0,Transient-Party,0.0,0,0
HB-010291,Resort Hotel,1,191,2025,February,9,24,2025-02-24,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,314.0,,0,Transient,44.64,0,0
HB-063334,City Hotel,1,580,2025,February,6,9,2025-02-09,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-041335,City Hotel,1,39,2023,August,33,14,2023-08-14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,101.5,0,0
HB-076626,City Hotel,0,210,2023,July,30,30,2023-07-30,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient-Party,76.5,0,0
HB-021163,Resort Hotel,0,30,2024,February,7,17,2024-02-17,0,3,2,0.0,0,BB,OMN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1
HB-007387,Resort Hotel,1,248,2024,August,32,6,2024-08-06,4,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,157.5,0,1
HB-053403,City Hotel,1,31,2024,June,25,20,2024-06-20,1,1,2,0.0,0,BB,KOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,107.1,0,0
HB-042380,City Hotel,1,65,2023,September,36,5,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-086578,City Hotel,0,46,2024,April,14,3,2024-04-03,2,1,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,0
HB-048027,City Hotel,0,97,2024,March,11,12,2024-03-12,2,5,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,58.6,0,0
HB-044777,City Hotel,0,63,2023,October,41,10,2023-10-10,2,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,8.0,,0,Transient,89.25,0,0
HB-070309,City Hotel,1,201,2025,June,24,14,2025-06-14,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0
HB-068563,City Hotel,1,105,2025,May,21,19,2025-05-19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,160.0,0,0
HB-107072,City Hotel,0,26,2025,March,9,1,2025-03-01,2,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,113.0,0,1
HB-047322,City Hotel,1,44,2024,February,7,17,2024-02-17,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44.0,,3,Transient,75.0,0,0
HB-093573,City Hotel,0,292,2024,July,29,21,2024-07-21,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,0
HB-106475,City Hotel,0,134,2025,February,9,25,2025-02-25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,75.0,0,0
HB-035853,Resort Hotel,0,59,2025,May,18,3,2025-05-03,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,115.0,0,0
HB-097249,City Hotel,0,19,2024,September,37,11,2024-09-11,2,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16.0,,0,Transient,107.0,0,0
HB-066906,City Hotel,1,156,2025,April,17,26,2025-04-26,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,100.0,0,0
HB-007644,Resort Hotel,1,165,2024,August,33,18,2024-08-18,0,3,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,237.0,0,0
HB-102208,City Hotel,0,55,2024,November,47,22,2024-11-22,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,102.6,0,1
HB-077200,City Hotel,1,4,2023,September,37,16,2023-09-16,0,4,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,F,F,0,No Deposit,9.0,,0,Transient,224.5,0,2
HB-021772,Resort Hotel,0,6,2024,March,10,8,2024-03-08,0,2,2,0.0,1,BB,PRT,Complementary,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,0.0,0,1
HB-112998,City Hotel,0,113,2025,May,22,30,2025-05-30,0,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,103.95,0,1
HB-005220,Resort Hotel,0,191,2024,April,17,22,2024-04-22,1,2,2,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,85.33,0,1
HB-016009,Resort Hotel,0,227,2025,May,19,5,2025-05-05,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,240.0,,0,Transient,56.0,0,3
HB-012709,Resort Hotel,1,27,2025,July,28,13,2025-07-13,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,178.0,0,0
HB-027392,Resort Hotel,0,6,2024,August,34,25,2024-08-25,0,3,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,200.1,0,1
HB-111647,City Hotel,0,120,2025,May,19,11,2025-05-11,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.1,0,0
HB-111678,City Hotel,0,116,2025,May,19,11,2025-05-11,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,120.0,0,1
HB-021756,Resort Hotel,0,0,2024,March,10,7,2024-03-07,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,29.0,0,1
HB-055591,City Hotel,1,221,2024,August,33,17,2024-08-17,0,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.5,0,0
HB-031173,Resort Hotel,0,26,2024,December,50,11,2024-12-11,2,4,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,,0,Transient,95.0,0,2
HB-079598,City Hotel,0,296,2023,October,43,24,2023-10-24,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,7.0,,0,Transient-Party,56.01,0,0
HB-071768,City Hotel,1,451,2025,July,28,12,2025-07-12,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,90.0,0,0
HB-073754,City Hotel,1,265,2023,July,27,9,2023-07-09,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0
HB-020407,Resort Hotel,0,17,2024,January,3,21,2024-01-21,2,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,52.8,0,1
HB-047137,City Hotel,0,66,2024,February,6,9,2024-02-09,0,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient-Party,80.55,1,1
HB-074019,City Hotel,1,300,2023,August,32,13,2023-08-13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0
HB-042696,City Hotel,0,69,2023,September,36,9,2023-09-09,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0
HB-110855,City Hotel,0,20,2025,April,18,28,2025-04-28,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,148.5,0,1
